StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q4,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q26,Q27,Q28,Q2,Q3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your affiliation with CWRU?,Have you ever browsed the CWRU bookstore (in-person/online)?,Have you ever purchased from the CWRU bookstore (in-person/online)?,What type of clothing would you be most interested in purchasing?,What is the most important factor you consider when deciding to purchase new apparel?,What size logo do you prefer on clothing?,What type of text style do you prefer?,Do you prefer simple or detailed designs?,What color style do you prefer for clothing styles?,Where would you be most likely to purchase your CWRU apparel?,What social media platforms do you use most frequently?,Where can you recall viewing online advertisements within the past month? (select all that apply),How frequently do you read your CWRU email?,Which type of online advertisement would most influence you to purchase clothing?,How likely are you to purchase apparel after seeing an online advertisement?,Where are you most likely to notice in-person advertisements around campus?,Which type of in-person advertisement would most catch your attention?,How likely are you to purchase bookstore clothing after seeing an in-person advertisement?,What would make you more likely to engage with an in-person promotion?,"In the last 3 months, what is the most you have spent on a single non-essential clothing item?",On average how much do you spend on a single item of clothing during a typical shopping trip/purchase?,How likely are you to purchase clothing from the CWRU bookstore next semester?,"In a few sentences, please summarize anything that would make you more likely to buy clothing from the CWRU bookstore.",Any other feedback or suggestions for the bookstore's clothing selection?,What is your current year in school?,What is your gender?
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID16""}","{""ImportId"":""QID15""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}"
2026-04-06 16:01:04,2026-04-06 16:03:18,IP Address,129.22.21.196,100,133,True,2026-04-06 16:03:18,R_6RmUcm3k8QgoVkl,,,,,41.5066,-81.6111,anonymous,EN,Undergraduate student,yes,yes,Crewneck Sweatshirt,Price,Medium,"Thin, minimal lettering",Some detail,"Neutral colors (black, white, gray)",Either,Tiktok,"Social media,Other",11+ times per week,Discounts/sales,2-  Unlikely,Tinkham Veale Student Center,Student Announcements prior to class periods,2- Unlikely,Free giveaways,<$10,$10 - $20,2-  Unlikely,,,Junior,Female
2026-04-06 16:10:06,2026-04-06 16:13:47,IP Address,129.22.21.196,100,221,True,2026-04-06 16:13:47,R_31towZ7tlk8Laa9,,,,,41.5066,-81.6111,anonymous,EN,Undergraduate student,yes,yes,"T-shirt,Long-sleeve shirt,Hoodie,Socks,Scarves",Price,Medium,"Thin, minimal lettering",Some detail,"Neutral colors (black, white, gray)",Online,"Instagram,Tiktok","Social media,Email",11+ times per week,Discounts/sales,2-  Unlikely,Academic Buildings,Student Announcements prior to class periods,1- Very unlikely,Free giveaways,$30 - $40,$20 - $30,1- Very unlikely,Free giveaways and discounts,N/A,Senior,Female
2026-04-06 18:15:08,2026-04-06 18:17:38,IP Address,129.22.21.199,100,150,True,2026-04-06 18:17:39,R_1SqLdqAJCXOvdzR,,,,,41.5066,-81.6111,anonymous,EN,Undergraduate student,yes,yes,Hoodie,Price,Large,Script/stylized fonts,Some detail,Pastel colors,Either,Instagram,Email,11+ times per week,New apparel announcements,1- Very unlikely,Tinkham Veale Student Center,Hand-held Flyers,1- Very unlikely,Free giveaways,<$10,<$10,2-  Unlikely,,,Freshman,Male
2026-04-06 18:16:00,2026-04-06 18:17:46,IP Address,104.184.174.96,100,106,True,2026-04-06 18:17:47,R_17Vrslz0qtYbrMZ,,,,,41.5066,-81.6111,anonymous,EN,Undergraduate student,yes,yes,Hoodie,Price,Medium,Script/stylized fonts,Some detail,"School colors (blue, white)",In person,None of the above listed,"Email,Other",4-6 times per week,Discounts/sales,1- Very unlikely,Tinkham Veale Student Center,Posters,1- Very unlikely,Free giveaways,<$10,$10 - $20,1- Very unlikely,,,Senior,Male
2026-04-06 18:13:24,2026-04-06 18:17:54,IP Address,76.35.205.170,100,270,True,2026-04-06 18:17:55,R_3MWDTd8o2RXTl8s,,,,,41.4453,-81.6991,anonymous,EN,Undergraduate student,yes,yes,T-shirt,Comfort,Medium,"Thin, minimal lettering",Very simple,"School colors (blue, white)",Online,None of the above listed,"Email,University websites,Other",11+ times per week,Discounts/sales,2-  Unlikely,Academic Buildings,Student Announcements prior to class periods,2- Unlikely,Free giveaways,$50+,$10 - $20,1- Very unlikely,"Tbh I don’t love Case that much and don’t want to be free advertising so I don’t wear Case branded clothes unless they’re very comfortable ",I have a pair of Case champion sweatpants from like 3-4 years ago that are great. Bring them back,Senior,Male
2026-04-06 18:16:02,2026-04-06 18:19:24,IP Address,129.22.21.200,100,201,True,2026-04-06 18:19:24,R_3FLG9lGBvrNmeS5,,,,,41.5066,-81.6111,anonymous,EN,Undergraduate student,yes,no,Hoodie,Price,Medium,"Bold, block lettering",Some detail,"School colors (blue, white)",Either,Instagram,"Email,University websites,Other",11+ times per week,Discounts/sales,2-  Unlikely,Academic Buildings,Student Announcements prior to class periods,3- Likely,Free giveaways,$20 - $30,$20 - $30,3- Likely,Make prices affordable and designs simpler and more appealing,,Freshman,Male
2026-04-06 18:18:21,2026-04-06 18:21:01,IP Address,76.35.213.89,100,159,True,2026-04-06 18:21:01,R_52suTLpmI4cQL45,,,,,41.4722,-81.745,anonymous,EN,Undergraduate student,yes,yes,"T-shirt,Long-sleeve shirt,Hoodie",Style,Medium,"Thin, minimal lettering",Some detail,"Neutral colors (black, white, gray)",In person,Instagram,"Social media,Email",11+ times per week,Discounts/sales,2-  Unlikely,Academic Buildings,Student Announcements prior to class periods,2- Unlikely,Discounts/sales,$40 - $50,$20 - $30,2-  Unlikely,,,Junior,Female
2026-04-06 18:19:36,2026-04-06 18:22:34,IP Address,129.22.21.194,100,177,True,2026-04-06 18:22:34,R_74hNzSsZYkK4NJE,,,,,41.5066,-81.6111,anonymous,EN,Undergraduate student,yes,yes,"Hat,Hoodie",Price,Medium,"Bold, block lettering",Some detail,"School colors (blue, white)",In person,Instagram,Social media,7-10 times per week,Discounts/sales,2-  Unlikely,Tinkham Veale Student Center,Posters,2- Unlikely,Free giveaways,$10 - $20,$10 - $20,2-  Unlikely,,,Freshman,Male
2026-04-06 18:21:16,2026-04-06 18:23:59,IP Address,76.35.215.164,100,163,True,2026-04-06 18:24:00,R_6RQ6MOE0GjnIb2K,,,,,41.4722,-81.745,anonymous,EN,Undergraduate student,no,,Hoodie,Style,Medium,"Bold, block lettering",Some detail,"School colors (blue, white)",Online,Instagram,"Social media,Email,University websites",4-6 times per week,New apparel announcements,1- Very unlikely,Tinkham Veale Student Center,Posters,2- Unlikely,Free giveaways,$50+,$50+,1- Very unlikely,Better style and cheaper,,Junior,Female
2026-04-06 18:23:28,2026-04-06 18:25:44,IP Address,129.22.21.198,100,136,True,2026-04-06 18:25:45,R_1hSENd7tdOiHEit,,,,,41.5066,-81.6111,anonymous,EN,Undergraduate student,yes,yes,"T-shirt,Hoodie",Style,Large,"Bold, block lettering",Some detail,"School colors (blue, white)",In person,Instagram,"Social media,Email",11+ times per week,Student promotions,2-  Unlikely,Residence Halls,Student Announcements prior to class periods,2- Unlikely,Discounts/sales,$50+,$20 - $30,2-  Unlikely,Cool new designs,No,Sophomore,Male
2026-04-06 18:16:04,2026-04-06 18:27:53,IP Address,47.231.86.193,100,709,True,2026-04-06 18:27:54,R_5CpPZSHsiYmrmN6,,,,,41.5053,-81.5566,anonymous,EN,Undergraduate student,yes,yes,"Long-sleeve shirt,Crewneck Sweatshirt",Price,Large,"Bold, block lettering",Some detail,"School colors (blue, white)",In person,"Instagram,Tiktok","Social media,Email,Other",11+ times per week,Discounts/sales,1- Very unlikely,Academic Buildings,Posters,2- Unlikely,Free giveaways,<$10,<$10,2-  Unlikely,,,Senior,Male
2026-04-06 18:24:56,2026-04-06 18:28:53,IP Address,151.186.191.111,100,236,True,2026-04-06 18:28:54,R_5smImGrPbUYFWia,,,,,39.9625,-83.0061,anonymous,EN,Undergraduate student,no,,"T-shirt,Crewneck Sweatshirt,Hoodie",Style,Medium,"Thin, minimal lettering",Some detail,Pastel colors,Either,"Instagram,X","Social media,Email",11+ times per week,Discounts/sales,2-  Unlikely,Residence Halls,Student Announcements prior to class periods,2- Unlikely,Discounts/sales,$50+,$40 - $50,2-  Unlikely,"more sales and discounts of passably interesting clothing ",n/a,Sophomore,Male
2026-04-06 18:28:50,2026-04-06 18:31:39,IP Address,172.226.87.129,100,169,True,2026-04-06 18:31:40,R_5kozd293CiFop6q,,,,,41.5,-81.6938,anonymous,EN,Undergraduate student,yes,yes,"T-shirt,Crewneck Sweatshirt,Hoodie,Socks,Scarves",Price,Medium,"Thin, minimal lettering",Very simple,"School colors (blue, white)",Either,"Instagram,X","Email,University websites",4-6 times per week,Discounts/sales,1- Very unlikely,Academic Buildings,Student Announcements prior to class periods,1- Very unlikely,Free giveaways,$40 - $50,$10 - $20,2-  Unlikely,If the merch were drippy and well priced,,Senior,Male
2026-04-06 19:44:55,2026-04-06 19:49:05,IP Address,154.16.49.16,100,249,True,2026-04-06 19:49:05,R_5h6H4jDCJxjSwna,,,,,38.894,-77.0365,anonymous,EN,Undergraduate student,yes,yes,"Hat,T-shirt,Hoodie",Price,Large,"Thin, minimal lettering",Very simple,"School colors (blue, white)",Online,"Instagram,Tiktok",None of the above,4-6 times per week,Discounts/sales,2-  Unlikely,Dinings Halls,Student Announcements prior to class periods,1- Very unlikely,Discounts/sales,$20 - $30,$20 - $30,3- Likely,,,Freshman,Male
2026-04-06 22:59:50,2026-04-06 23:01:47,IP Address,129.22.21.198,100,117,True,2026-04-06 23:01:47,R_7v9q8GLhhVoGWk1,,,,,41.5066,-81.6111,anonymous,EN,Undergraduate student,yes,yes,"Hat,T-shirt,Long-sleeve shirt,Hoodie",Price,Large,"Bold, block lettering",Very simple,"Neutral colors (black, white, gray)",Either,Instagram,Email,11+ times per week,Student promotions,1- Very unlikely,Tinkham Veale Student Center,Posters,1- Very unlikely,Free giveaways,$30 - $40,$20 - $30,2-  Unlikely,,,Sophomore,Female
